original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
https://boardgamegeek.com/boardgame/119637/zug-um-zug-deutschland # zug um zug,,119637.0,Zug um Zug: Deutschland,2012,2661,6.08514,7.5286,975,0,,,,765.0,,,,,Extracted from URL,Below Average (<6.5),Base Game,#2661,Zug um Zug_ Deutschland_2012_119637.jpg
triqueta,triqueta,378200.0,Triqueta,2023,2816,6.05252,6.85645,1602,0,,,,876.0,,,,,Found,Below Average (<6.5),Base Game,#2816,Triqueta_2023_378200.jpg
bezzerwizzer,bezzerwizzer,32441.0,Bezzerwizzer,2007,2985,6.01641,6.41564,3548,0,,,,1042.0,245.0,,,,Found,Below Average (<6.5),Base Game,#2985,Bezzerwizzer_2007_32441.jpg
mesos,mesos,414685.0,Mesos,2024,3086,6.00134,6.99714,1194,0,,,,947.0,,,,,Found,Below Average (<6.5),Base Game,#3086,Mesos_2024_414685.png
nobody is perfect,nobody is perfect,8829.0,Nobody Is Perfect,1992,3394,5.95105,6.82136,1209,0,,,,,206.0,,,,Found,Below Average (<6.5),Base Game,#3394,Nobody Is Perfect_1992_8829.jpg
qawale,qawale,368465.0,Qawale,2022,3726,5.90297,6.96495,953,0,115.0,,,,,,,,Found,Below Average (<6.5),Base Game,#3726,Qawale_2022_368465.jpg
exploding kittens,exploding kittens,172225.0,Exploding Kittens,2015,3872,5.88222,6.06641,39355,0,,,,,573.0,,,,Found,Below Average (<6.5),Base Game,#3872,Exploding Kittens_2015_172225.png
pylos,pylos,1419.0,Pylos,1993,4023,5.86381,6.30709,2251,0,244.0,,,,,,,,Found,Below Average (<6.5),Base Game,#4023,Pylos_1993_1419.jpg
katamino,katamino,6931.0,Katamino,1992,4405,5.8226,6.50249,1216,0,239.0,,,,,,,,Found,Below Average (<6.5),Base Game,#4405,Katamino_1992_6931.jpg
zombie kittens,zombie kittens,362202.0,Zombie Kittens,2022,4868,5.78132,6.53913,1123,0,,,,,381.0,,,,Found,Below Average (<6.5),Base Game,#4868,Zombie Kittens_2022_362202.jpg
dorfromantik das duell,dorfromantik das duell,395364.0,Dorfromantik: The Duel,2023,4917,5.77737,6.97797,566,0,,,,1474.0,,,,,No good match found,Below Average (<6.5),Base Game,#4917,Dorfromantik_ The Duel_2023_395364.jpg
rival cities,rival cities,433384.0,Rival Cities,2025,5165,5.75749,7.46732,354,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#5165,Rival Cities_2025_433384.jpg
https://boardgamegeek.com/boardgame/181494/cvlizations # CVlisations,,181494.0,CVlizations,2015,5356,5.74266,6.23708,1157,0,,,,1642.0,,,,,Extracted from URL,Below Average (<6.5),Base Game,#5356,CVlizations_2015_181494.jpg
power hungry pets,power hungry pets,411404.0,Power Hungry Pets,2024,5615,5.72741,6.97948,485,0,,,,,,,,,Found,Below Average (<6.5),Base Game,#5615,Power Hungry Pets_2024_411404.png
set,set,4550.0,1000 Blank White Cards,1996,5782,5.71689,6.73214,551,0,,,,,377.0,,,,Found,Below Average (<6.5),Base Game,#5782,1000 Blank White Cards_1996_4550.jpg
quixo,quixo,3190.0,Quixo,1995,5788,5.71661,6.2541,1079,0,300.0,,,,,,,,Found,Below Average (<6.5),Base Game,#5788,Quixo_1995_3190.jpg
munchkin,munchkin,1927.0,Munchkin,2001,6240,5.6917,5.87258,52171,0,,,,,847.0,,1688.0,,Found,Below Average (<6.5),Base Game,#6240,Munchkin_2001_1927.jpg
schummel hummel,schummel hummel,235944.0,Schummel Hummel,2017,6353,5.68653,6.52956,546,0,,,,,387.0,,,,Found,Below Average (<6.5),Base Game,#6353,Schummel Hummel_2017_235944.png
havalandi,havalandi,396543.0,Havalandi,2023,6372,5.6858,6.67801,418,0,,,,,,2154.0,,,Found,Below Average (<6.5),Base Game,#6372,Havalandi_2023_396543.jpg
https://boardgamegeek.com/boardgame/151/piratenbillard # piratenbilliard,,151.0,Piratenbillard,1989,6609,5.67552,6.55121,456,0,,,,1840.0,386.0,,,,Extracted from URL,Below Average (<6.5),Base Game,#6609,Piratenbillard_1989_151.jpg
